epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,938.784,0.42594,0.35325,0.94136,0.78568,0.7202,0.78585,0.50569,1.18894,0.98102,1.26647,0.0011684,0.0011684,0.0011684
44,959.558,0.4061,0.34437,0.93633,0.79778,0.70525,0.77825,0.50933,1.19732,0.98013,1.29679,0.0011486,0.0011486,0.0011486
45,981.77,0.4014,0.34048,0.93475,0.8121,0.71143,0.78296,0.50891,1.1758,1.0006,1.28173,0.0011288,0.0011288,0.0011288
46,1002.4,0.40067,0.33597,0.92993,0.82328,0.70265,0.78092,0.51108,1.19021,1.019,1.27713,0.001109,0.001109,0.001109
47,1024.72,0.38735,0.32544,0.9262,0.80006,0.72238,0.78105,0.51436,1.18085,1.01913,1.27202,0.0010892,0.0010892,0.0010892
48,1045.34,0.37336,0.31838,0.92335,0.83227,0.7377,0.8061,0.53328,1.12375,0.92068,1.23886,0.0010694,0.0010694,0.0010694
49,1067.53,0.36337,0.30483,0.91831,0.77628,0.72212,0.78796,0.51497,1.15286,1.01208,1.25001,0.0010496,0.0010496,0.0010496
50,1088.05,0.35694,0.3018,0.91588,0.80827,0.72566,0.8053,0.54184,1.10286,0.97461,1.22554,0.0010298,0.0010298,0.0010298
51,1109.56,0.34753,0.2955,0.91245,0.76372,0.73628,0.78549,0.51109,1.15905,1.00383,1.26283,0.00101,0.00101,0.00101
52,1130.94,0.34552,0.29395,0.91176,0.81953,0.75551,0.81719,0.54668,1.11476,0.92443,1.23657,0.0009902,0.0009902,0.0009902
53,1152.18,0.3283,0.28136,0.90572,0.77045,0.77224,0.80579,0.52965,1.14566,0.96827,1.24459,0.0009704,0.0009704,0.0009704
54,1174.05,0.32628,0.27774,0.90502,0.80299,0.74336,0.81164,0.5425,1.12199,0.97278,1.21684,0.0009506,0.0009506,0.0009506
55,1194.78,0.3237,0.2765,0.90456,0.81717,0.72035,0.80775,0.54467,1.10053,0.93518,1.21722,0.0009308,0.0009308,0.0009308
56,1216.95,0.32024,0.27551,0.90313,0.83873,0.75575,0.8232,0.56017,1.07983,0.94085,1.19505,0.000911,0.000911,0.000911
57,1237.66,0.31194,0.26722,0.89903,0.81235,0.74159,0.79356,0.53711,1.10073,0.95886,1.21502,0.0008912,0.0008912,0.0008912
58,1260.24,0.30434,0.26185,0.89709,0.82597,0.75604,0.81296,0.55729,1.09747,0.95882,1.20427,0.0008714,0.0008714,0.0008714
59,1281.14,0.3025,0.26253,0.8955,0.8335,0.74427,0.80798,0.54018,1.10222,0.96378,1.2109,0.0008516,0.0008516,0.0008516
60,1303.71,0.2995,0.2593,0.8959,0.81006,0.75484,0.80705,0.54636,1.10563,0.94046,1.18584,0.0008318,0.0008318,0.0008318
61,1324.55,0.28916,0.25463,0.89175,0.85166,0.74336,0.82814,0.56599,1.08041,0.90199,1.19471,0.000812,0.000812,0.000812
62,1346.92,0.27822,0.24504,0.88935,0.821,0.74867,0.82212,0.5468,1.11327,0.93625,1.23191,0.0007922,0.0007922,0.0007922
63,1367.82,0.27521,0.24182,0.89117,0.81859,0.71681,0.81864,0.55061,1.10737,0.969,1.22592,0.0007724,0.0007724,0.0007724
64,1390.33,0.2738,0.24071,0.88889,0.8177,0.73805,0.81553,0.54527,1.08851,0.9301,1.2156,0.0007526,0.0007526,0.0007526
65,1411.15,0.26499,0.23681,0.88652,0.83909,0.70619,0.80119,0.53495,1.11169,0.96341,1.2203,0.0007328,0.0007328,0.0007328
66,1433.66,0.25822,0.22947,0.88526,0.81242,0.75221,0.81873,0.55788,1.05929,0.92213,1.16951,0.000713,0.000713,0.000713
67,1454.69,0.25344,0.22554,0.88267,0.83304,0.73451,0.81913,0.55903,1.06032,0.92362,1.20313,0.0006932,0.0006932,0.0006932
68,1477.1,0.24832,0.22469,0.88165,0.82458,0.72566,0.81567,0.54881,1.06823,0.93621,1.2148,0.0006734,0.0006734,0.0006734
69,1497.99,0.24483,0.21984,0.88063,0.81371,0.74336,0.82197,0.56023,1.06606,0.9224,1.1804,0.0006536,0.0006536,0.0006536
70,1520.14,0.24092,0.21552,0.88092,0.81629,0.75575,0.82443,0.55259,1.09777,0.9512,1.22282,0.0006338,0.0006338,0.0006338
71,1541.18,0.23152,0.21139,0.87902,0.8119,0.75631,0.81821,0.55916,1.08464,0.96158,1.20698,0.000614,0.000614,0.000614
